Label ;Description;FORMAT;Values
TR1;Transect code 1;Text;"Codes used for linear features
01 Grass margins < 3 m
02 Heath/Shrub, tall herb fringes < 3 m
10 Single bushes, single tree
11  Avenue trees
12  Conifer hedges < 3 m
13  Bush/tree hedges/coppices, visibly managed (e.g. pollarded) < 3 m
14  Bush/tree hedges, not managed, with single trees, or shrubland deriving from abandonment < 3 m
15  Grove/Woodland margins (if no hedgerow) < 3 m
21  Dry stone walls
22  Artificial constructions (other than dry stone walls)
23 Fences
24 Electric lines
31 Ditches, channels < 3 m
32 Rivers, streams < 3 m
41 Ponds, wetlands < 3 m
51 Rock outcrops with some natural vegetation
61 Tracks
62 Roads
63 Railways
71 Other linear elements
*   value Photo-Interpreted
  X Premature end of transect field assessment
  8 No transect mapped
see also nomenclature for land cover classes"
TR2;Transect code 2;Text;See trans1
TR3;Transect code 3;Text;See trans1
TR4;Transect code 4;Text;See trans1
TR5;Transect code 5;Text;See trans1
TR6;Transect code 6;Text;See trans1
TR7;Transect code 7;Text;See trans1
TR8;Transect code 8;Text;See trans1
TR9;Transect code 9;Text;See trans1
TR10;Transect code 10;Text;See trans1
TR11;Transect code 11;Text;See trans1
TR12;Transect code 12;Text;See trans1
TR13;Transect code 13;Text;See trans1
TR14;Transect code 14;Text;See trans1
TR15;Transect code 15;Text;See trans1
TR16;Transect code 16;Text;See trans1
TR17;Transect code 17;Text;See trans1
TR18;Transect code 18;Text;See trans1
TR19;Transect code 19;Text;See trans1
TR20;Transect code 20;Text;See trans1
TR21;Transect code 21;Text;See trans1
TR22;Transect code 22;Text;See trans1
TR23;Transect code 23;Text;See trans1
TR24;Transect code 24;Text;See trans1
TR25;Transect code 25;Text;See trans1
TR26;Transect code 26;Text;See trans1
TR27;Transect code 27;Text;See trans1
TR28;Transect code 28;Text;See trans1
TR29;Transect code 29;Text;See trans1
TR30;Transect code 30;Text;See trans1
TR31;Transect code 31;Text;See trans1
TR32;Transect code 32;Text;See trans1
TR33;Transect code 33;Text;See trans1
TR34;Transect code 34;Text;See trans1
TR35;Transect code 35;Text;See trans1
TR36;Transect code 36;Text;See trans1
TR37;Transect code 37;Text;See trans1
TR38;Transect code 38;Text;See trans1
TR39;Transect code 39;Text;See trans1
TR40;Transect code 40;Text;See trans1
TR41;Transect code 41;Text;See trans1
TR42;Transect code 42;Text;See trans1
TR43;Transect code 43;Text;See trans1
TR44;Transect code 44;Text;See trans1
TR45;Transect code 45;Text;See trans1
TR46;Transect code 46;Text;See trans1
TR47;Transect code 47;Text;See trans1
TR48;Transect code 48;Text;See trans1
TR49;Transect code 49;Text;See trans1
TR50;Transect code 50;Text;See trans1
TR51;Transect code 51;Text;See trans1
TR52;Transect code 52;Text;See trans1
TR53;Transect code 53;Text;See trans1
TR54;Transect code 54;Text;See trans1
TR55;Transect code 55;Text;See trans1
TR56;Transect code 56;Text;See trans1
TR57;Transect code 57;Text;See trans1
TR58;Transect code 58;Text;See trans1
TR59;Transect code 59;Text;See trans1
TR60;Transect code 60;Text;See trans1
TR61;Transect code 61;Text;See trans1
TR62;Transect code 62;Text;See trans1
TR63;Transect code 63;Text;See trans1
TR64;Transect code 64;Text;See trans1
TR65;Transect code 65;Text;See trans1
TR66;Transect code 66;Text;See trans1
TR67;Transect code 67;Text;See trans1
TR68;Transect code 68;Text;See trans1
TR69;Transect code 69;Text;See trans1
TR70;Transect code 70;Text;See trans1
TR71;Transect code 71;Text;See trans1
TR72;Transect code 72;Text;See trans1
TR73;Transect code 73;Text;See trans1
TR74;Transect code 74;Text;See trans1
TR75;Transect code 75;Text;See trans1
TR76;Transect code 76;Text;See trans1
TR77;Transect code 77;Text;See trans1
TR78;Transect code 78;Text;See trans1
TR79;Transect code 79;Text;See trans1
TR80;Transect code 80;Text;See trans1
